,,0
MntMeatProducts (con),NumCatalogPurchases (con),0.7338317238216535
MntWines (con),NumStorePurchases (con),0.6403426998300078
MntWines (con),NumCatalogPurchases (con),0.6343061371861757
MntFishProducts (con),MntFruits (con),0.5930620782219974
Income (con),NumCatalogPurchases (con),0.5890903004785489
Income (con),MntMeatProducts (con),0.5843614252331781
MntFishProducts (con),MntSweetProducts (con),0.5835477105003979
Income (con),MntWines (con),0.5784812071362443
MntFishProducts (con),MntMeatProducts (con),0.5730535691504495
MntFruits (con),MntSweetProducts (con),0.5714983978214521
MntMeatProducts (con),MntWines (con),0.5681888485033864
MntWines (con),NumWebPurchases (con),0.5537043780532634
MntFruits (con),MntMeatProducts (con),0.5467667014347984
MntMeatProducts (con),MntSweetProducts (con),0.5347125047397074
MntFishProducts (con),NumCatalogPurchases (con),0.5323060766783331
Income (con),NumStorePurchases (con),0.5301198100081583
NumCatalogPurchases (con),NumStorePurchases (con),0.5179844229835284
NumStorePurchases (con),NumWebPurchases (con),0.5158052573538454
MntSweetProducts (con),NumCatalogPurchases (con),0.49470574532346856
MntMeatProducts (con),NumStorePurchases (con),0.4864782563865376
MntFruits (con),NumCatalogPurchases (con),0.4856448717912707
AcceptedCmp5 (con),MntWines (con),0.4729093654386792
MntFruits (con),NumStorePurchases (con),0.4599086799593592
MntFishProducts (con),NumStorePurchases (con),0.4579889224596322
MntSweetProducts (con),NumStorePurchases (con),0.45527981813982626
Kidhome (con),NumWebVisitsMonth (con),0.4472727567535174
MntGoldProds (con),NumCatalogPurchases (con),0.441744768359311
Income (con),MntSweetProducts (con),0.44053215211564756
Income (con),MntFishProducts (con),0.43852251837278056
Income (con),MntFruits (con),0.43024829678934345
MntFishProducts (con),MntGoldProds (con),0.42638481178128734
AcceptedCmp1 (con),AcceptedCmp5 (con),0.40943947192880836
MntGoldProds (con),NumWebPurchases (con),0.4079342041934364
MntFishProducts (con),MntWines (con),0.3970345263061783
MntFruits (con),MntGoldProds (con),0.39350349443396265
MntGoldProds (con),MntWines (con),0.39160422136907297
MntGoldProds (con),NumStorePurchases (con),0.3908344350251987
MntSweetProducts (con),MntWines (con),0.38973128402136115
Income (con),NumWebPurchases (con),0.38818260636913887
NumCatalogPurchases (con),NumWebPurchases (con),0.38659895197425764
NumDealsPurchases (con),Teenhome (con),0.38629775029215646
MntFruits (con),MntWines (con),0.38589170499576686
AcceptedCmp5 (con),MntMeatProducts (con),0.37529252173491084
AcceptedCmp4 (con),MntWines (con),0.37338930693600547
Age (con),Teenhome (con),0.36211233986636787
MntGoldProds (con),MntMeatProducts (con),0.35767474120465337
MntGoldProds (con),MntSweetProducts (con),0.35686760402086115
AcceptedCmp1 (con),MntWines (con),0.3516468701212835
NumDealsPurchases (con),NumWebVisitsMonth (con),0.3456674930258789
AcceptedCmp5 (con),Income (con),0.3350317566166353
MntSweetProducts (con),NumWebPurchases (con),0.3336792953672942
Income (con),MntGoldProds (con),0.3250731756591433
AcceptedCmp5 (con),AcceptedCmp6 (con),0.3249253651744397
AcceptedCmp5 (con),NumCatalogPurchases (con),0.32156522806812005
AcceptedCmp1 (con),MntMeatProducts (con),0.3134217248991049
AcceptedCmp4 (con),AcceptedCmp5 (con),0.31262158458621553
AcceptedCmp1 (con),NumCatalogPurchases (con),0.3091703428994114
MntMeatProducts (con),NumWebPurchases (con),0.3069186610006705
MntFruits (con),NumWebPurchases (con),0.30233977803590584
MntFishProducts (con),NumWebPurchases (con),0.29949463621675076
AcceptedCmp1 (con),AcceptedCmp6 (con),0.2972449977783621
AcceptedCmp2 (con),AcceptedCmp4 (con),0.29502339581979853
AcceptedCmp1 (con),Income (con),0.2770705587450203
AcceptedCmp1 (con),MntFishProducts (con),0.2617550747539414
AcceptedCmp5 (con),MntSweetProducts (con),0.25846943741324946
AcceptedCmp3 (con),AcceptedCmp6 (con),0.25388832656885973
AcceptedCmp6 (con),MntWines (con),0.24643444528321745
AcceptedCmp1 (con),MntSweetProducts (con),0.2451618782696245
AcceptedCmp1 (con),AcceptedCmp4 (con),0.24270590174442672
NumDealsPurchases (con),NumWebPurchases (con),0.2410218276911492
AcceptedCmp6 (con),MntMeatProducts (con),0.23805948077576167
Education (nom),MntWines (con),0.22315238557928588
AcceptedCmp2 (con),AcceptedCmp5 (con),0.2229284773659875
AcceptedCmp6 (con),NumCatalogPurchases (con),0.2199960131458728
Education (nom),Income (con),0.21828285816414833
Kidhome (con),NumDealsPurchases (con),0.21691343671995417
Age (con),Marital_Status (nom),0.2150832535978359
AcceptedCmp5 (con),NumStorePurchases (con),0.21431825121292786
AcceptedCmp5 (con),MntFruits (con),0.20902090399307835
AcceptedCmp2 (con),MntWines (con),0.20631877596107828
Age (con),Education (nom),0.2031559635078114
AcceptedCmp5 (con),MntFishProducts (con),0.19484477222943883
AcceptedCmp1 (con),MntFruits (con),0.19244607833864097
AcceptedCmp4 (con),Income (con),0.18461477998077994
AcceptedCmp4 (con),AcceptedCmp6 (con),0.1800754690813045
AcceptedCmp1 (con),NumStorePurchases (con),0.17853184333384564
AcceptedCmp4 (con),NumStorePurchases (con),0.17778246235719142
AcceptedCmp5 (con),MntGoldProds (con),0.1766876321298623
AcceptedCmp1 (con),AcceptedCmp2 (con),0.17660535781163625
AcceptedCmp1 (con),MntGoldProds (con),0.17090835760163262
AcceptedCmp2 (con),AcceptedCmp6 (con),0.16924878818282435
Age (con),MntWines (con),0.16484250558677357
Age (con),Income (con),0.1632950007915188
AcceptedCmp4 (con),NumWebPurchases (con),0.1627639861877887
NumWebPurchases (con),Teenhome (con),0.162367905208972
Age (con),NumWebPurchases (con),0.1623660666814323
Education (nom),MntGoldProds (con),0.15952115350836377
AcceptedCmp1 (con),NumWebPurchases (con),0.1591386874939943
Education (nom),Teenhome (con),0.15642512871452974
AcceptedCmp6 (con),Marital_Status (nom),0.15582636323911625
Education (nom),MntFishProducts (con),0.15253210075345183
AcceptedCmp6 (con),NumWebPurchases (con),0.1511479605414231
Education (nom),NumStorePurchases (con),0.1490212549205671
Education (nom),MntSweetProducts (con),0.1474122794913582
Education (nom),NumWebPurchases (con),0.1425938210864615
AcceptedCmp5 (con),NumWebPurchases (con),0.1414702983485127
AcceptedCmp6 (con),MntGoldProds (con),0.1411960514107358
AcceptedCmp4 (con),NumCatalogPurchases (con),0.14022301140901947
Age (con),NumStorePurchases (con),0.13922880495500697
Education (nom),MntFruits (con),0.13793826099334308
AcceptedCmp6 (con),Income (con),0.13330197904994276
Education (nom),NumCatalogPurchases (con),0.13263590683127935
NumWebVisitsMonth (con),Teenhome (con),0.13083920316997444
Age (con),NumCatalogPurchases (con),0.1260116995858541
AcceptedCmp3 (con),MntGoldProds (con),0.12562268620308803
Education (nom),MntMeatProducts (con),0.12364912555902152
AcceptedCmp6 (con),MntFruits (con),0.12305875002539629
Marital_Status (nom),Teenhome (con),0.12302642974561832
AcceptedCmp6 (con),MntSweetProducts (con),0.1161645880363954
Marital_Status (nom),MntFishProducts (con),0.10972716210983925
AcceptedCmp6 (con),MntFishProducts (con),0.10822693866177031
Marital_Status (nom),MntGoldProds (con),0.1057148612663511
Education (nom),NumWebVisitsMonth (con),0.10451066556256461
AcceptedCmp3 (con),NumCatalogPurchases (con),0.10436442641977103
AcceptedCmp6 (con),Education (nom),0.10223686001620785
AcceptedCmp2 (con),NumCatalogPurchases (con),0.09995323753752332
AcceptedCmp1 (con),AcceptedCmp3 (con),0.09559250024091182
Kidhome (con),Marital_Status (nom),0.09212765054416897
AcceptedCmp4 (con),MntMeatProducts (con),0.09175082330467005
AcceptedCmp2 (con),Income (con),0.08763539505942745
AcceptedCmp2 (con),NumStorePurchases (con),0.0851769819107776
AcceptedCmp3 (con),AcceptedCmp5 (con),0.08086845656694351
Marital_Status (nom),NumDealsPurchases (con),0.07257064174593011
Marital_Status (nom),NumWebVisitsMonth (con),0.0717638439018819
AcceptedCmp2 (con),AcceptedCmp3 (con),0.07166194751614986
Marital_Status (nom),NumCatalogPurchases (con),0.07137545148363167
Education (nom),Kidhome (con),0.07011813207371341
AcceptedCmp4 (con),Age (con),0.07011412845150004
Education (nom),Joined_year (con),0.069266385911127
Marital_Status (nom),NumWebPurchases (con),0.0689818917070189
AcceptedCmp4 (con),Education (nom),0.06786604240600265
Age (con),NumDealsPurchases (con),0.06586582468854642
NumDealsPurchases (con),NumStorePurchases (con),0.06527272634249141
AcceptedCmp1 (con),Marital_Status (nom),0.06322620921389173
Marital_Status (nom),MntFruits (con),0.06212947846362654
AcceptedCmp3 (con),MntWines (con),0.06146041878809385
AcceptedCmp3 (con),NumWebVisitsMonth (con),0.061045780167061525
Joined_year (con),Marital_Status (nom),0.06034871312037121
Marital_Status (nom),MntMeatProducts (con),0.060279604012497164
Age (con),MntGoldProds (con),0.05996047794091636
AcceptedCmp5 (con),Marital_Status (nom),0.059207233755788194
Marital_Status (nom),Recency (con),0.058568107190781725
Marital_Status (nom),MntSweetProducts (con),0.05624307285558637
Income (con),Marital_Status (nom),0.053541711674142775
Joined_year (con),Kidhome (con),0.05352756230527342
AcceptedCmp5 (con),Education (nom),0.053345053432399314
AcceptedCmp1 (con),Education (nom),0.05317297807249956
MntGoldProds (con),NumDealsPurchases (con),0.05279021888784393
Complain (con),Education (nom),0.05189444875790853
AcceptedCmp2 (con),MntGoldProds (con),0.0510041232970414
AcceptedCmp2 (con),Marital_Status (nom),0.050946628268412376
Education (nom),NumDealsPurchases (con),0.049570338331974766
NumStorePurchases (con),Teenhome (con),0.04955626320207628
AcceptedCmp3 (con),Marital_Status (nom),0.04927085636521874
Marital_Status (nom),MntWines (con),0.04687521198901589
AcceptedCmp2 (con),Education (nom),0.04584464082327889
AcceptedCmp4 (con),Marital_Status (nom),0.04538718642174754
AcceptedCmp2 (con),MntMeatProducts (con),0.04357988590288694
Marital_Status (nom),NumStorePurchases (con),0.043246820718640853
AcceptedCmp3 (con),NumWebPurchases (con),0.04273375523651073
Age (con),MntFishProducts (con),0.041315766703652876
AcceptedCmp4 (con),Teenhome (con),0.038278637819581816
AcceptedCmp1 (con),Joined_year (con),0.037712495631069744
Complain (con),Kidhome (con),0.037012558142518893
AcceptedCmp6 (con),NumStorePurchases (con),0.03572018711512796
AcceptedCmp2 (con),NumWebPurchases (con),0.03474188761655859
Age (con),MntMeatProducts (con),0.03382252304617987
Education (nom),Recency (con),0.03343399806313824
AcceptedCmp3 (con),Education (nom),0.0325709195266284
Complain (con),Marital_Status (nom),0.03060172312981509
AcceptedCmp4 (con),MntSweetProducts (con),0.029284184031772614
MntSweetProducts (con),Recency (con),0.02549454557367485
NumCatalogPurchases (con),Recency (con),0.024422660092308427
AcceptedCmp4 (con),MntGoldProds (con),0.02438102506248293
Age (con),Joined_year (con),0.024051418214487228
MntMeatProducts (con),Recency (con),0.023177127678696445
Income (con),Joined_year (con),0.022281555293056348
Age (con),MntSweetProducts (con),0.02170981349043215
AcceptedCmp5 (con),Joined_year (con),0.021542372839107864
Complain (con),NumWebVisitsMonth (con),0.020807378342501716
Income (con),Teenhome (con),0.01928530199103359
AcceptedCmp3 (con),MntMeatProducts (con),0.018498209021392417
MntGoldProds (con),Recency (con),0.018394388327524575
AcceptedCmp4 (con),Recency (con),0.01763149196625725
MntWines (con),Recency (con),0.016331704033813513
AcceptedCmp4 (con),MntFishProducts (con),0.016125758582600316
AcceptedCmp3 (con),Kidhome (con),0.015998502559217358
Age (con),Recency (con),0.0159705497080711
